Unnamed: 0,brand,name,year,model,seat,fuel,capacity,origin,gear,price
13,Kia,Kia Sorento Luxury 2.2 AT - 2023,2023,SUV,7,Dầu,2.2,Lắp ráp trong nước,Số tự động,1134000000
14,Ford,Ford Territory Titanium 1.5 AT - 2023,2023,SUV,5,Xăng,1.5,Lắp ráp trong nước,Số tự động,849000000
15,Ford,Ford Ranger XLS 2.0L 4x2 AT - 2023,2023,Bán tải / Pickup,5,Dầu,2.2,Lắp ráp trong nước,Số tự động,688000000
16,Ford,Ford Territory Titanium X 1.5 AT - 2023,2023,SUV,5,Xăng,1.5,Lắp ráp trong nước,Số tự động,880000000
17,Mazda,Mazda CX5 Premium 2.0 AT - 2022,2022,SUV,5,Xăng,2.0,Lắp ráp trong nước,Số tự động,819000000
18,VinFast,VinFast VF8 Eco - 2022,2022,SUV,5,Điện,0.2,Lắp ráp trong nước,Số tự động,830000000
19,Ford,Ford Everest Titanium Plus 2.0L 4x4 AT - 2023,2023,SUV,7,Dầu,2.0,Nhập khẩu,Số tự động,1440000000
20,Ford,Ford Everest Titanium 2.0L 4x2 AT - 2023,2023,SUV,7,Dầu,2.0,Nhập khẩu,Số tự động,1299000000
21,Mazda,Mazda CX5 Deluxe 2.0 AT - 2023,2023,SUV,5,Xăng,2.0,Lắp ráp trong nước,Số tự động,759000000
22,Honda,Honda HRV RS - 2023,2023,Crossover,5,Xăng,1.5,Nhập khẩu,Số tự động,871000000
23,Ford,Ford Territory Titanium X 1.5 AT - 2023,2023,SUV,5,Xăng,1.5,Lắp ráp trong nước,Số tự động,954000000
24,Toyota,Toyota Avanza Premio 1.5 AT - 2023,2023,SUV,7,Xăng,1.5,Lắp ráp trong nước,Số tự động,598000000
25,Mitsubishi,Mitsubishi Triton Athlete 4x4 AT - 2023,2023,Bán tải / Pickup,5,Dầu,2.4,Nhập khẩu,Số tự động,905000000
26,Hyundai,Hyundai Tucson 1.6 AT Turbo HTRAC Đặc biệt - 2023,2023,Crossover,5,Xăng,1.6,Lắp ráp trong nước,Số tự động,1020000000
27,Honda,Honda HRV RS - 2023,2023,Crossover,5,Xăng,1.5,Nhập khẩu,Số tự động,871000000
28,Ford,Ford Transit Tiêu chuẩn - 2023,2023,Van/Minivan,16,Dầu,2.2,Lắp ráp trong nước,Số tay,810000000
29,Ford,Ford Territory Trend 1.5 AT - 2023,2023,SUV,5,Xăng,1.5,Lắp ráp trong nước,Số tự động,760000000
30,Ford,Ford Territory Titanium X 1.5 AT - 2023,2023,SUV,5,Xăng,1.5,Lắp ráp trong nước,Số tự động,860000000
31,Hyundai,Hyundai i10 1.2 MT Tiêu Chuẩn - 2023,2023,Sedan,5,Xăng,1.25,Lắp ráp trong nước,Số tay,342000000
32,Ford,Ford Ranger Wildtrak 2.0L 4x4 AT - 2023,2023,Bán tải / Pickup,5,Dầu,2.0,Lắp ráp trong nước,Số tự động,880000000
33,Ford,Ford Ranger XLS 2.0L 4x2 AT - 2023,2023,Bán tải / Pickup,5,Dầu,2.2,Lắp ráp trong nước,Số tự động,630000000
34,Ford,Ford Everest Titanium 2.0L 4x2 AT - 2023,2023,SUV,7,Dầu,2.0,Nhập khẩu,Số tự động,1220000000
35,Ford,Ford Ranger Raptor 2.0L 4x4 AT - 2023,2023,Bán tải / Pickup,5,Dầu,2.0,Nhập khẩu,Số tự động,1202000000
36,Ford,Ford Ranger XLS 2.0L 4x2 AT - 2023,2023,Bán tải / Pickup,5,Dầu,2.2,Lắp ráp trong nước,Số tự động,640000000
37,Hyundai,Hyundai Stargazer Đặc biệt 1.5 AT - 2022,2022,Van/Minivan,7,Xăng,1.5,Nhập khẩu,Số tự động,545000000
38,Ford,Ford Everest Sport 2.0L 4x2 AT - 2023,2023,SUV,7,Dầu,2.0,Nhập khẩu,Số tự động,1178000000
39,Ford,Ford Ranger XLS 2.0L 4x2 AT - 2023,2023,Bán tải / Pickup,5,Dầu,2.2,Lắp ráp trong nước,Số tự động,658000000
40,Kia,Kia Carnival Luxury 2.2D - 2023,2023,Van/Minivan,8,Dầu,2.2,Lắp ráp trong nước,Số tự động,1289000000
41,Mitsubishi,Mitsubishi Xpander Cross 1.5AT - 2023,2023,SUV,7,Xăng,1.5,Nhập khẩu,Số tự động,703000000
42,Hyundai,Hyundai Elantra N-Line 1.6 Turbo AT - 2023,2023,Sedan,5,Xăng,1.6,Lắp ráp trong nước,Số tự động,799000000
43,Peugeot,Peugeot 3008 GT - 2022,2022,Crossover,5,Xăng,1.6,Lắp ráp trong nước,Số tự động,1209000000
44,Ford,Ford Everest Sport 2.0L 4x2 AT - 2023,2023,SUV,7,Dầu,2.0,Nhập khẩu,Số tự động,1148000000
45,Ford,Ford Territory Titanium 1.5 AT - 2023,2023,SUV,5,Xăng,1.5,Lắp ráp trong nước,Số tự động,859000000
46,Ford,Ford Ranger XLS 2.0L 4x2 AT - 2023,2023,Bán tải / Pickup,5,Dầu,2.2,Lắp ráp trong nước,Số tự động,677000000
47,Ford,Ford Ranger Raptor 2.0L 4x4 AT - 2023,2023,Bán tải / Pickup,5,Dầu,2.0,Nhập khẩu,Số tự động,1299000000
48,Ford,Ford Territory Titanium X 1.5 AT - 2023,2023,SUV,5,Xăng,1.5,Lắp ráp trong nước,Số tự động,890000000
49,Isuzu,Isuzu Dmax 4x2 AT Hi-Lander - 2022,2022,Bán tải / Pickup,5,Dầu,0.0,Nhập khẩu,Số tự động,700000000
50,VinFast,VinFast VF9 Plus - 2023,2023,SUV,7,Điện,0.2,Lắp ráp trong nước,Số tự động,1321000000
51,Hyundai,Hyundai Accent 1.4 MT Tiêu Chuẩn - 2023,2023,Sedan,5,Xăng,1.4,Lắp ráp trong nước,Số tay,400000000
52,VinFast,VinFast VF8 Plus - 2023,2023,SUV,5,Điện,0.2,Lắp ráp trong nước,Số tự động,1184000000
53,Hyundai,Hyundai i10 1.2 MT Tiêu Chuẩn - 2023,2023,Hatchback,5,Xăng,1.25,Lắp ráp trong nước,Số tay,355000000
54,Suzuki,Suzuki Swift GLX 1.2 AT - 2023,2023,Hatchback,5,Xăng,1.2,Nhập khẩu,Số tự động,559000000
55,Hyundai,Hyundai Accent 1.4 AT - 2022,2022,Sedan,5,Xăng,1.4,Lắp ráp trong nước,Số tự động,475000000
56,Ford,Ford Territory Titanium X 1.5 AT - 2023,2023,SUV,5,Xăng,1.5,Lắp ráp trong nước,Số tự động,894000000
57,Ford,Ford Everest Titanium 2.0L 4x2 AT - 2023,2023,SUV,7,Dầu,2.0,Nhập khẩu,Số tự động,1245000000
58,Hyundai,Hyundai Stargazer Cao cấp 1.5 AT - 2023,2023,Van/Minivan,7,Xăng,1.5,Nhập khẩu,Số tự động,605000000
59,Hyundai,Hyundai Accent 1.4 AT - 2023,2023,Sedan,5,Xăng,1.4,Lắp ráp trong nước,Số tự động,465000000
60,Toyota,Toyota Corolla Cross 1.8V - 2023,2023,SUV,5,Xăng,1.8,Nhập khẩu,Số tự động,846000000
61,Mitsubishi,Mitsubishi Xpander Cross 1.5 AT - 2023,2023,SUV,7,Xăng,1.5,Nhập khẩu,Số tự động,703000000
62,VinFast,VinFast VF5 Plus - 2023,2023,Hatchback,5,Điện,0.0,Lắp ráp trong nước,Số tự động,428000000
63,Ford,Ford Ranger XLS 2.0L 4x2 AT - 2023,2023,Bán tải / Pickup,5,Dầu,2.2,Lắp ráp trong nước,Số tự động,677000000
64,Ford,Ford Territory Titanium 1.5 AT - 2023,2023,SUV,5,Xăng,1.5,Lắp ráp trong nước,Số tự động,844000000
65,Mitsubishi,Mitsubishi Xpander 1.5 AT - 2023,2023,SUV,7,Xăng,1.5,Nhập khẩu,Số tự động,553000000
66,Ford,Ford Everest Titanium Plus 2.0L 4x4 AT - 2023,2023,SUV,7,Dầu,2.0,Nhập khẩu,Số tự động,1460000000
67,Ford,Ford Territory Trend 1.5 AT - 2023,2023,SUV,5,Xăng,1.5,Lắp ráp trong nước,Số tự động,760000000
68,VinFast,VinFast VF8 Eco - 2023,2023,SUV,5,Điện,0.2,Lắp ráp trong nước,Số tự động,707000000
69,Mitsubishi,Mitsubishi Xpander Premium 1.5 AT - 2022,2022,SUV,7,Xăng,1.5,Nhập khẩu,Số tự động,648000000
70,Isuzu,Isuzu FRR 650 mui bạt - 2022,2022,Truck,3,Dầu,0.0,Nhập khẩu,Số tay,840000000
71,Hyundai,Hyundai Accent 1.4 MT - 2022,2022,Sedan,5,Xăng,1.4,Lắp ráp trong nước,Số tay,476000000
72,Ford,Ford Everest Sport 2.0L 4x2 AT - 2023,2023,SUV,7,Dầu,2.0,Nhập khẩu,Số tự động,1178000000
73,Ford,Ford Ranger Wildtrak 2.0L 4x4 AT - 2023,2023,Bán tải / Pickup,5,Dầu,2.0,Lắp ráp trong nước,Số tự động,924000000
74,Ford,Ford Territory Titanium 1.5 AT - 2023,2023,SUV,5,Xăng,1.5,Lắp ráp trong nước,Số tự động,835000000
75,Ford,Ford Everest Sport 2.0L 4x2 AT - 2023,2023,SUV,7,Dầu,2.0,Nhập khẩu,Số tự động,1148000000
76,Ford,Ford Ranger Wildtrak 2.0L 4x4 AT - 2023,2023,Bán tải / Pickup,5,Dầu,2.0,Lắp ráp trong nước,Số tự động,979000000
77,Ford,Ford Everest Ambiente 2.0L 4x2 AT - 2023,2023,SUV,7,Dầu,2.0,Nhập khẩu,Số tự động,1099000000
78,Mitsubishi,Mitsubishi Xpander Premium 1.5 AT - 2023,2023,SUV,7,Xăng,1.5,Nhập khẩu,Số tự động,658000000
79,Toyota,Toyota Camry 2.0Q - 2023,2023,Sedan,5,Xăng,2.0,Nhập khẩu,Số tự động,1228000000
80,Toyota,Toyota Veloz Cross Top 1.5 CVT - 2023,2023,SUV,7,Xăng,1.5,Lắp ráp trong nước,Số tự động,668000000
81,Suzuki,Suzuki XL7 1.5 AT - 2022,2022,SUV,7,Xăng,1.5,Nhập khẩu,Số tự động,599000000
82,Toyota,Toyota Corolla altis 1.8V - 2023,2023,Sedan,5,Xăng,1.8,Nhập khẩu,Số tự động,745000000
83,Toyota,Toyota Corolla Cross 1.8HV - 2023,2023,SUV,5,Hybrid,1.8,Nhập khẩu,Số tự động,963000000
84,VinFast,VinFast VF8 Plus - 2023,2023,SUV,5,Điện,0.2,Lắp ráp trong nước,Số tự động,1087000000
85,Peugeot,Peugeot 2008 GT Line - 2023,2023,SUV,5,Xăng,0.0,Lắp ráp trong nước,Số tự động,859000000
86,Mazda,Mazda 3 1.5L Luxury - 2022,2022,Sedan,5,Xăng,1.5,Lắp ráp trong nước,Số tự động,605000000
87,Peugeot,Peugeot 5008 GT 1.6 AT - 2022,2022,SUV,7,Xăng,1.6,Lắp ráp trong nước,Số tự động,1319000000
88,Ford,Ford Territory Titanium 1.5 AT - 2023,2023,SUV,5,Xăng,1.5,Lắp ráp trong nước,Số tự động,840000000
89,Mazda,Mazda CX5 2.0 Luxury - 2023,2023,SUV,5,Xăng,2.0,Lắp ráp trong nước,Số tự động,784000000
90,Honda,Honda City G 1.5 AT - 2023,2023,Sedan,5,Xăng,1.5,Lắp ráp trong nước,Số tự động,484000000
91,Mazda,Mazda cx3 Luxury 1.5 AT - 2022,2022,Crossover,5,Xăng,1.5,Nhập khẩu,Số tự động,589000000
92,MG,MG ZS Luxury 1.5 AT 2WD - 2022,2022,Crossover,5,Xăng,1.5,Nhập khẩu,Số tự động,577000000
93,Hyundai,Hyundai Tucson 2.0 AT CRDi Đặc biệt - 2023,2023,Crossover,5,Dầu,2.0,Lắp ráp trong nước,Số tự động,1020000000
94,Mazda,Mazda CX 30 Luxury 2.0 AT - 2022,2022,Crossover,5,Xăng,2.0,Nhập khẩu,Số tự động,694000000
95,Mazda,Mazda 2 Luxury - 2022,2022,Sedan,5,Xăng,1.5,Nhập khẩu,Số tự động,482000000
96,Ford,Ford Ranger Wildtrak 2.0L 4x4 AT - 2023,2023,Bán tải / Pickup,5,Dầu,2.0,Lắp ráp trong nước,Số tự động,924000000
97,Mazda,Mazda CX5 Premium - 2023,2023,SUV,5,Xăng,0.0,Lắp ráp trong nước,Số tự động,804000000
98,Mazda,Mazda CX5 2.0 Premium - 2023,2023,SUV,5,Xăng,2.0,Lắp ráp trong nước,Số tự động,804000000
99,Mazda,Mazda CX5 Deluxe 2.0 AT - 2023,2023,SUV,5,Xăng,2.0,Lắp ráp trong nước,Số tự động,745000000
100,Mazda,Mazda 2 1.5 AT - 2023,2023,Sedan,5,Xăng,1.5,Nhập khẩu,Số tự động,415000000
101,Mazda,Mazda CX5 Deluxe 2.0 AT - 2023,2023,SUV,5,Xăng,2.0,Lắp ráp trong nước,Số tự động,745000000
102,Toyota,Toyota Veloz Cross 1.5 CVT - 2023,2023,SUV,7,Xăng,1.5,Lắp ráp trong nước,Số tự động,618000000
103,Ford,Ford Ranger XLS 2.0L 4x2 AT - 2023,2023,Bán tải / Pickup,5,Dầu,2.2,Lắp ráp trong nước,Số tự động,640000000
104,Ford,Ford Territory Titanium 1.5 AT - 2023,2023,SUV,5,Xăng,1.5,Lắp ráp trong nước,Số tự động,844000000
105,Ford,Ford Ranger XLS 2.0L 4x2 AT - 2023,2023,Bán tải / Pickup,5,Dầu,2.2,Lắp ráp trong nước,Số tự động,650000000
106,Ford,Ford Ranger Wildtrak 2.0L 4x4 AT - 2023,2023,Bán tải / Pickup,5,Dầu,2.0,Lắp ráp trong nước,Số tự động,895000000
107,Hyundai,Hyundai Creta Tiêu chuẩn 1.5 AT - 2023,2023,Crossover,5,Xăng,1.5,Nhập khẩu,Số tự động,610000000
108,Ford,Ford Everest Ambiente 2.0L 4x2 AT - 2023,2023,SUV,7,Dầu,2.0,Nhập khẩu,Số tự động,1059000000
109,Toyota,Toyota Veloz Cross Top 1.5 CVT - 2023,2023,SUV,7,Xăng,1.5,Lắp ráp trong nước,Số tự động,698000000
110,VinFast,VinFast VF8 Eco - 2022,2022,SUV,5,Điện,0.2,Lắp ráp trong nước,Số tự động,830000000
111,Hyundai,Hyundai Mighty 110SP - 2022,2022,Truck,3,Dầu,0.0,Lắp ráp trong nước,Số tay,720000000
112,Ford,Ford Ranger XLS 2.0L 4x4 AT - 2023,2023,Bán tải / Pickup,5,Dầu,2.2,Lắp ráp trong nước,Số tự động,716000000
113,Mazda,Mazda 6 Luxury 2.0 AT - 2023,2023,Sedan,5,Xăng,2.0,Lắp ráp trong nước,Số tự động,789000000
114,Peugeot,Peugeot 3008 GT - 2023,2023,Crossover,5,Xăng,1.6,Lắp ráp trong nước,Số tự động,1209000000
115,Ford,Ford Ranger XLS 2.0L 4x2 AT - 2023,2023,Bán tải / Pickup,5,Dầu,2.2,Lắp ráp trong nước,Số tự động,677000000
116,Kia,Kia Seltos Deluxe 1.4 AT - 2023,2023,Crossover,5,Xăng,1.4,Lắp ráp trong nước,Số tự động,659000000
117,Kia,Kia Seltos Premium 1.4 AT - 2023,2023,Crossover,5,Xăng,1.4,Lắp ráp trong nước,Số tự động,724000000
118,Mitsubishi,Mitsubishi Xpander Premium 1.5 AT - 2023,2023,SUV,7,Xăng,1.5,Nhập khẩu,Số tự động,630000000
119,Ford,Ford Everest Titanium Plus 2.0L 4x4 AT - 2023,2023,SUV,7,Dầu,2.0,Nhập khẩu,Số tự động,1422000000
120,Kia,Kia Sonet Luxury 1.5 AT - 2023,2023,Crossover,5,Xăng,1.5,Lắp ráp trong nước,Số tự động,584000000
121,Ford,Ford Territory Titanium 1.5 AT - 2023,2023,SUV,5,Xăng,1.5,Lắp ráp trong nước,Số tự động,849000000
122,Ford,Ford Territory Titanium X 1.5 AT - 2023,2023,SUV,5,Xăng,1.5,Lắp ráp trong nước,Số tự động,890000000
123,Ford,Ford Everest Titanium 2.0L 4x2 AT - 2023,2023,SUV,7,Dầu,2.0,Nhập khẩu,Số tự động,1299000000
124,Ford,Ford Everest Titanium 2.0L 4x2 AT - 2023,2023,SUV,7,Dầu,2.0,Nhập khẩu,Số tự động,1245000000
125,Ford,Ford Ranger XL 2.0L 4x4 MT - 2023,2023,Bán tải / Pickup,5,Dầu,2.2,Lắp ráp trong nước,Số tay,659000000
126,Peugeot,Peugeot 2008 GT Line - 2023,2023,SUV,5,Xăng,0.0,Lắp ráp trong nước,Số tự động,859000000
127,Mazda,Mazda 3 1.5L Sport Premium - 2023,2023,Hatchback,5,Xăng,1.5,Lắp ráp trong nước,Số tự động,759000000
128,Nissan,Nissan Navara EL 2.3 AT 2WD Cao cấp - 2022,2022,Bán tải / Pickup,5,Dầu,2.3,Nhập khẩu,Số tự động,649000000
129,Hyundai,Hyundai i10 1.2 AT - 2023,2023,Hatchback,5,Xăng,1.25,Lắp ráp trong nước,Số tự động,405000000
130,VinFast,VinFast VF9 Plus - 2023,2023,SUV,7,Điện,0.2,Lắp ráp trong nước,Số tự động,1193000000
131,Ford,Ford Territory Titanium 1.5 AT - 2023,2023,SUV,5,Xăng,1.5,Lắp ráp trong nước,Số tự động,849000000
132,Hyundai,Hyundai Tucson 2.0 AT Đặc biệt - 2023,2023,Crossover,5,Xăng,2.0,Lắp ráp trong nước,Số tự động,935000000
133,Hyundai,Hyundai Stargazer Cao cấp 1.5 AT - 2023,2023,Van/Minivan,7,Xăng,1.5,Nhập khẩu,Số tự động,610000000
134,Hyundai,Hyundai Creta Đặc biệt 1.5 AT - 2023,2023,Crossover,5,Xăng,1.5,Nhập khẩu,Số tự động,690000000
135,Kia,Kia Soluto 1.4 MT Deluxe - 2023,2023,Sedan,5,Xăng,1.4,Lắp ráp trong nước,Số tay,414000000
136,Honda,Honda HRV RS - 2023,2023,Crossover,5,Xăng,1.5,Nhập khẩu,Số tự động,836000000
137,Mercedes,Mercedes Benz C class C200 Avantgarde - 2023,2023,Sedan,5,Xăng,1.5,Lắp ráp trong nước,Số tự động,1539000000
138,Isuzu,Isuzu Dmax Type Z 1.9L 4x4 AT - 2022,2022,Bán tải / Pickup,5,Dầu,1.9,Nhập khẩu,Số tự động,839000000
139,Ford,Ford Territory Titanium 1.5 AT - 2023,2023,SUV,5,Xăng,1.5,Lắp ráp trong nước,Số tự động,849000000
140,Hyundai,Hyundai SantaFe Cao cấp 2.5L HTRAC - 2023,2023,SUV,7,Xăng,2.5,Lắp ráp trong nước,Số tự động,1275000000
141,Honda,Honda CRV L - 2023,2023,SUV,7,Xăng,1.5,Lắp ráp trong nước,Số tự động,1003000000
142,Hyundai,Hyundai SantaFe Cao cấp 2.2L HTRAC - 2022,2022,SUV,7,Dầu,2.2,Lắp ráp trong nước,Số tự động,1180000000
143,VinFast,VinFast VF e34 AT - 2022,2022,Crossover,5,Điện,0.1,Lắp ráp trong nước,Số tự động,555000000
144,Toyota,Toyota Veloz Cross Top 1.5 CVT - 2023,2023,SUV,7,Xăng,1.5,Lắp ráp trong nước,Số tự động,658000000
145,Hyundai,Hyundai SantaFe Cao cấp 2.2L HTRAC - 2022,2022,SUV,7,Dầu,2.2,Lắp ráp trong nước,Số tự động,1350000000
146,Mitsubishi,Mitsubishi Pajero Sport 2.4D 4x2 AT - 2022,2022,SUV,7,Dầu,2.4,Nhập khẩu,Số tự động,1020000000
147,Toyota,Toyota Camry 2.5Q - 2023,2023,Sedan,5,Xăng,2.5,Nhập khẩu,Số tự động,1405000000
148,Hyundai,Hyundai Creta Đặc biệt 1.5 AT - 2023,2023,Crossover,5,Xăng,1.5,Nhập khẩu,Số tự động,655000000
149,Hyundai,Hyundai Tucson 2.0 AT Tiêu chuẩn - 2022,2022,Crossover,5,Xăng,2.0,Lắp ráp trong nước,Số tự động,775000000
150,Ford,Ford Ranger Wildtrak 2.0L 4x4 AT - 2023,2023,Bán tải / Pickup,5,Dầu,2.0,Lắp ráp trong nước,Số tự động,910000000
151,Mazda,Mazda 3 1.5L Luxury - 2023,2023,Sedan,5,Xăng,1.5,Lắp ráp trong nước,Số tự động,631000000
152,Peugeot,Peugeot 3008 AL - 2023,2023,Crossover,5,Xăng,1.6,Lắp ráp trong nước,Số tự động,1119000000
153,Ford,Ford Territory Trend 1.5 AT - 2023,2023,SUV,5,Xăng,1.5,Lắp ráp trong nước,Số tự động,752000000
154,Hyundai,Hyundai Tucson 2.0 AT CRDi Đặc biệt - 2023,2023,Crossover,5,Dầu,2.0,Lắp ráp trong nước,Số tự động,1020000000
155,Hyundai,Hyundai Creta Tiêu chuẩn 1.5 AT - 2022,2022,Crossover,5,Xăng,1.5,Nhập khẩu,Số tự động,570000000
156,Hyundai,Hyundai Accent 1.4 AT Đặc Biệt - 2023,2023,Sedan,5,Xăng,1.4,Lắp ráp trong nước,Số tự động,505000000
157,Hyundai,Hyundai Accent 1.4 AT - 2022,2022,Sedan,5,Xăng,1.4,Lắp ráp trong nước,Số tự động,475000000
158,Hyundai,Hyundai Tucson 1.6 AT Turbo HTRAC Đặc biệt - 2023,2023,Crossover,5,Xăng,1.6,Lắp ráp trong nước,Số tự động,1015000000
159,Ford,Ford Everest Titanium 2.0L 4x2 AT - 2023,2023,SUV,7,Dầu,2.0,Nhập khẩu,Số tự động,1269000000
160,Mitsubishi,Mitsubishi Attrage 1.2 MT - 2022,2022,Sedan,5,Xăng,1.2,Nhập khẩu,Số tay,343000000
161,Mitsubishi,Mitsubishi Attrage 1.2 MT - 2022,2022,Sedan,5,Xăng,1.2,Nhập khẩu,Số tay,380000000
162,Ford,Ford Everest Titanium 2.0L 4x2 AT - 2023,2023,SUV,7,Dầu,2.0,Nhập khẩu,Số tự động,1299000000
163,Mitsubishi,Mitsubishi Outlander Premium 2.0 CVT - 2023,2023,SUV,7,Xăng,2.0,Lắp ráp trong nước,Số tự động,950000000
164,Ford,Ford Territory Titanium X 1.5 AT - 2023,2023,SUV,5,Xăng,1.5,Lắp ráp trong nước,Số tự động,954000000
165,Hyundai,Hyundai Elantra 2.0 AT Cao cấp - 2023,2023,Sedan,5,Xăng,2.0,Lắp ráp trong nước,Số tự động,719000000
166,Toyota,Toyota Vios G 1.5 CVT - 2023,2023,Sedan,5,Xăng,1.5,Lắp ráp trong nước,Số tự động,582000000
167,Ford,Ford Ranger Wildtrak 2.0L 4x4 AT - 2023,2023,Bán tải / Pickup,5,Dầu,2.0,Lắp ráp trong nước,Số tự động,910000000
168,Ford,Ford Ranger Wildtrak 2.0L 4x4 AT - 2023,2023,Bán tải / Pickup,5,Dầu,2.0,Lắp ráp trong nước,Số tự động,924000000
169,Ford,Ford Territory Titanium 1.5 AT - 2023,2023,SUV,5,Xăng,1.5,Lắp ráp trong nước,Số tự động,849000000
170,Mazda,Mazda CX5 Premium 2.0 AT - 2023,2023,SUV,5,Xăng,2.0,Lắp ráp trong nước,Số tự động,829000000
171,Hyundai,Hyundai Accent 1.4 MT - 2023,2023,Sedan,5,Xăng,1.4,Lắp ráp trong nước,Số tay,440000000
172,Ford,Ford Ranger XLS 2.0L 4x4 AT - 2023,2023,Bán tải / Pickup,5,Dầu,2.2,Lắp ráp trong nước,Số tự động,720000000
173,VinFast,VinFast VF8 Eco - 2022,2022,SUV,5,Điện,0.2,Lắp ráp trong nước,Số tự động,790000000
174,Suzuki,Suzuki XL7 1.5 AT - 2022,2022,SUV,7,Xăng,1.5,Nhập khẩu,Số tự động,530000000
175,Mercedes,Mercedes Benz C class C200 Avantgarde - 2023,2023,Sedan,5,Xăng,1.5,Lắp ráp trong nước,Số tự động,1529000000
176,VinFast,VinFast VF e34 AT - 2023,2023,Crossover,5,Hybrid,0.0,Lắp ráp trong nước,Số tự động,500000000
177,Hyundai,Hyundai Creta Tiêu chuẩn 1.5 AT - 2023,2023,Crossover,5,Xăng,1.5,Nhập khẩu,Số tự động,599000000
178,Toyota,Toyota Vios G 1.5 CVT - 2022,2022,Sedan,5,Xăng,1.5,Lắp ráp trong nước,Số tự động,592000000
179,Honda,Honda CRV L - 2023,2023,SUV,7,Xăng,1.5,Lắp ráp trong nước,Số tự động,980000000
180,Hyundai,Hyundai SantaFe Cao cấp 2.5L HTRAC - 2023,2023,SUV,7,Xăng,2.5,Lắp ráp trong nước,Số tự động,1185000000
181,Nissan,Nissan Almera VL 1.0 CVT Cao cấp - 2023,2023,Sedan,5,Xăng,1.0,Nhập khẩu,Số tự động,595000000
182,Mitsubishi,Mitsubishi Attrage 1.2 CVT - 2023,2023,Sedan,5,Xăng,1.2,Nhập khẩu,Số tự động,410000000
183,Ford,Ford Everest Titanium Plus 2.0L 4x4 AT - 2023,2023,SUV,7,Dầu,2.0,Nhập khẩu,Số tự động,1468000000
184,Kia,Kia Morning 1.25 AT - 2022,2022,Hatchback,5,Xăng,1.25,Lắp ráp trong nước,Số tự động,356000000
185,VinFast,VinFast VF8 Eco - 2023,2023,SUV,5,Điện,0.2,Lắp ráp trong nước,Số tự động,762000000
186,Ford,Ford Territory Titanium X 1.5 AT - 2023,2023,SUV,5,Xăng,1.5,Lắp ráp trong nước,Số tự động,920000000
187,Honda,Honda City L 1.5 AT - 2023,2023,Sedan,5,Xăng,1.5,Lắp ráp trong nước,Số tự động,519000000
188,Toyota,Toyota Vios G 1.5 CVT - 2023,2023,Sedan,5,Xăng,1.5,Lắp ráp trong nước,Số tự động,532000000
189,Ford,Ford Ranger XLS 2.0L 4x2 AT - 2023,2023,Bán tải / Pickup,5,Dầu,2.2,Lắp ráp trong nước,Số tự động,638000000
190,Nissan,Nissan Kicks e-Power E - 2022,2022,SUV,5,Hybrid,1.2,Nhập khẩu,Số tự động,720000000
191,Ford,Ford Territory Titanium X 1.5 AT - 2023,2023,SUV,5,Xăng,1.5,Lắp ráp trong nước,Số tự động,894000000
192,Mitsubishi,Mitsubishi Xpander 1.5 AT - 2023,2023,SUV,7,Xăng,1.5,Nhập khẩu,Số tự động,572000000
193,Toyota,Toyota Corolla Cross 1.8G - 2023,2023,SUV,5,Xăng,1.8,Nhập khẩu,Số tự động,763000000
